# ================================
#  NWChem spectrum parser ver 2.1
# ================================
# 
# Parser runtime options: {'verbose': False, 'datafmt': 'auto', 'header': True, 'delim': '    ', 'width': 0.3, 'makespec': True, 'units': 'nm', 'nbin': 20, 'npoints': 2000, 'cchar': '#'}
#
# The input appears to contain TDDFT data.
# Successfully parsed 30 TDDFT singlet excitations
# Roots were Lorentzian broadened with width 0.3 eV 
# Spectrum generated with 2000 points.
#
# Wavelen. [nm]        Abs. [au]   
#----------------------------------
2.3208582804e+00    2.0422495570e-05
2.3207401258e+00    2.2232520752e-05
2.3206219831e+00    2.4405889801e-05
2.3205038525e+00    2.7034938241e-05
2.3203857338e+00    3.0238950812e-05
2.3202676273e+00    3.4171224460e-05
2.3201495327e+00    3.9025713846e-05
2.3200314502e+00    4.5039315402e-05
2.3199133796e+00    5.2480093804e-05
2.3197953211e+00    6.1600422359e-05
2.3196772746e+00    7.2516239358e-05
2.3195592402e+00    8.4961103357e-05
2.3194412177e+00    9.7908542299e-05
2.3193232072e+00    1.0926378501e-04
2.3192052088e+00    1.1617417607e-04
2.3190872223e+00    1.1638931199e-04
2.3189692479e+00    1.0983304214e-04
2.3188512855e+00    9.8662977585e-05
2.3187333350e+00    8.5743763541e-05
2.3186153966e+00    7.3233923176e-05
2.3184974702e+00    6.2218014714e-05
2.3183795557e+00    5.2996476819e-05
2.3182616533e+00    4.5467983624e-05
2.3181437628e+00    3.9384106197e-05
2.3180258843e+00    3.4476090864e-05
2.3179080179e+00    3.0504843590e-05
2.3177901634e+00    2.7274061165e-05
2.3176723208e+00    2.4628436500e-05
2.3175544903e+00    2.2447128429e-05
2.3174366718e+00    2.0636673528e-05
2.3173188652e+00    1.9124791272e-05
2.3172010706e+00    1.7855408373e-05
2.3170832880e+00    1.6784815714e-05
2.3169655173e+00    1.5878754820e-05
2.3168477587e+00    1.5110226736e-05
2.3167300120e+00    1.4457847997e-05
2.3166122772e+00    1.3904616183e-05
2.3164945544e+00    1.3436981141e-05
2.3163768436e+00    1.3044144812e-05
2.3162591448e+00    1.2717533139e-05
2.3161414579e+00    1.2450398855e-05
2.3160237830e+00    1.2237525345e-05
2.3159061200e+00    1.2075010235e-05
2.3157884690e+00    1.1960113828e-05
2.3156708299e+00    1.1891162478e-05
2.3155532028e+00    1.1867501126e-05
2.3154355877e+00    1.1889492809e-05
2.3153179844e+00    1.1958566398e-05
2.3152003932e+00    1.2077317479e-05
2.3150828138e+00    1.2249671445e-05
2.3149652465e+00    9.6338133079e-06
2.3148476910e+00    9.9572953558e-06
2.3147301475e+00    1.0356702837e-05
2.3146126160e+00    1.0844807432e-05
2.3144950963e+00    1.1438222367e-05
2.3143775886e+00    1.2158528631e-05
